Date,Open,High,Low,Close,Adj Close,Volume
2011-06-13,66.760002,67.059998,66.449997,66.760002,50.512547,703400
2011-06-14,67.110001,67.370003,66.930000,67.040001,50.724415,919700
2011-06-15,66.629997,66.980003,65.970001,66.300003,50.164494,948200
2011-06-16,66.089996,66.910004,66.089996,66.809998,50.550377,871700
2011-06-17,66.940002,67.980003,66.839996,67.540001,51.102718,1602300
2011-06-20,67.500000,68.099998,67.379997,67.860001,51.344837,664100
2011-06-21,68.220001,68.220001,67.720001,67.779999,51.284313,620300
2011-06-22,67.769997,68.050003,67.360001,67.430000,51.019489,480400
2011-06-23,66.900002,67.360001,66.459999,67.230003,50.868160,839200
2011-06-24,67.260002,67.389999,66.239998,66.290001,50.156921,1813000
2011-06-27,66.519997,66.690002,66.220001,66.250000,50.126667,821200
2011-06-28,66.589996,66.589996,66.150002,66.559998,50.361210,805000
2011-06-29,66.889999,67.629997,66.790001,67.400002,50.996788,978600
2011-06-30,67.519997,67.739998,67.330002,67.440002,51.027065,760000
2011-07-01,67.169998,68.279999,67.129997,68.269997,51.655056,722600
2011-07-05,68.379997,68.440002,67.870003,67.970001,51.428070,542300
2011-07-06,67.910004,68.529999,67.699997,68.180000,51.586967,1062400
2011-07-07,68.559998,68.739998,67.989998,68.360001,51.723152,928900
2011-07-08,67.910004,68.360001,67.790001,68.120003,51.541565,1336200
2011-07-11,67.809998,71.980003,67.739998,70.050003,53.001858,5612000
2011-07-12,70.000000,71.000000,69.529999,70.139999,53.069958,2812400
2011-07-13,69.839996,70.230003,68.839996,68.989998,52.199837,1811900
2011-07-14,69.169998,69.269997,68.400002,68.430000,51.776112,3274400
2011-07-15,74.349998,75.099998,72.470001,74.550003,56.406685,18113700
2011-07-18,73.320000,73.489998,72.500000,73.040001,55.264191,4978700
2011-07-19,72.500000,73.480003,71.519997,72.570000,54.908554,2945100
2011-07-20,74.830002,75.440002,74.150002,74.339996,56.247787,5702400
2011-07-21,74.300003,74.800003,74.000000,74.220001,56.156998,1461000
2011-07-22,74.570000,74.589996,73.820000,74.360001,56.262920,1567700
2011-07-25,73.129997,73.570000,72.550003,72.690002,55.446735,1344000
2011-07-26,72.580002,73.320000,72.540001,73.300003,55.912056,1374800
2011-07-27,72.970001,73.870003,72.760002,73.629997,56.163769,1902200
2011-07-28,73.309998,73.769997,72.669998,72.690002,55.446735,823100
2011-07-29,72.379997,72.879997,71.589996,71.589996,54.607689,1485800
2011-08-01,72.139999,72.199997,70.800003,71.120003,54.249176,1372000
2011-08-02,70.790001,71.139999,69.989998,70.290001,53.616055,1186000
2011-08-03,70.449997,70.610001,68.440002,68.879997,52.540539,2762900
2011-08-04,68.190002,68.239998,64.290001,64.820000,49.443642,3877700
2011-08-05,66.269997,67.680000,65.099998,67.180000,51.243816,3012500
2011-08-08,66.209999,66.750000,64.019997,64.080002,48.879177,2023700
2011-08-09,64.750000,67.239998,63.639999,67.199997,51.259064,2418300
2011-08-10,66.589996,67.070000,65.190002,65.279999,49.794518,1854200
2011-08-11,65.510002,68.540001,65.480003,67.750000,51.678585,1618000
2011-08-12,68.239998,68.360001,67.339996,67.650002,51.602318,1121400
2011-08-15,68.129997,70.800003,68.120003,69.949997,53.356720,1781200
2011-08-16,69.669998,70.339996,68.930000,68.989998,52.624447,2060200
2011-08-17,69.269997,69.589996,65.099998,66.849998,50.992096,2820100
2011-08-18,65.830002,66.080002,63.560001,64.120003,48.909683,2390300
2011-08-19,65.019997,65.779999,63.759998,64.000000,48.818161,3420400
2011-08-22,65.050003,65.160004,63.750000,64.610001,49.283455,1491700
2011-08-23,65.110001,65.839996,64.580002,65.769997,50.168274,950200
2011-08-24,65.680000,66.250000,65.190002,66.059998,50.389496,820000
2011-08-25,66.279999,66.669998,65.160004,65.910004,50.275074,1074200
2011-08-26,65.599998,67.370003,65.070000,67.139999,51.213303,997700
2011-08-29,67.510002,68.639999,67.320000,68.629997,52.349846,1079300
2011-08-30,68.500000,72.339996,67.940002,70.519997,53.791496,5225300
2011-08-31,70.540001,70.949997,69.599998,69.699997,53.166027,2230100
2011-09-01,69.690002,70.320000,68.970001,69.010002,52.639709,1250700
2011-09-02,68.330002,69.290001,68.029999,68.589996,52.319313,768800
2011-09-06,66.589996,68.589996,66.589996,68.470001,52.227810,1094400
2011-09-07,68.739998,70.120003,68.599998,69.690002,53.158394,968200
2011-09-08,69.209999,70.029999,68.879997,68.910004,52.563419,1300000
2011-09-09,68.370003,68.589996,67.150002,67.480003,51.472637,797600
2011-09-12,67.000000,67.800003,66.739998,67.750000,51.678585,621900
2011-09-13,67.669998,68.209999,67.239998,68.150002,51.983719,528400
2011-09-14,68.150002,69.129997,67.290001,68.370003,52.151505,876600
2011-09-15,68.839996,68.949997,67.760002,68.709999,52.410866,747000
2011-09-16,69.139999,70.000000,68.839996,69.470001,52.990578,1391000
2011-09-19,68.750000,69.199997,68.529999,68.830002,52.502396,757200
2011-09-20,68.980003,69.849998,68.750000,68.760002,52.449013,805100
2011-09-21,68.650002,69.099998,66.709999,66.750000,50.915813,749200
2011-09-22,65.599998,66.639999,65.459999,66.129997,50.442875,1116200
2011-09-23,66.489998,69.610001,66.489998,69.400002,52.937195,1579000
2011-09-26,64.800003,66.489998,63.959999,66.440002,50.679352,3390300
